category,"event_code","event_description",severity
as2proxy,0x04230001,"Unknown error",error
as2proxy,0x04230002,"Cannot process request headers.",error
as2proxy,0x04230003,"AS2 message processing failed: decryption failure.",error
as2proxy,0x04230004,"AS2 message processing failed: decompression or decryption failure.",error
as2proxy,0x04230005,"AS2 message processing failed: cannot fetch exchange profile.",error
as2proxy,0x04230006,"AS2 message processing failed: invalid exchange profile.",error
as2proxy,0x04230007,"AS2 message processing failed: cannot load decryption materials.",error
as2proxy,0x04230008,"AS2 message processing failed: cannot load signature verification materials.",error
as2proxy,0x04230009,"AS2 message processing failed: signature verification failure.",error
as2proxy,0x0423000a,"AS2 message rejected because of security policy: message does not meet exchange requirement.",error
as2proxy,0x0423000b,"Error when parsing MIME payload.",error
as2proxy,0x0423000c,"AS2 message processing failed: Invalid content for AS2 'Original-Message-ID' header for MDN.",error
as2proxy,0x0423000d,"Invalid visibility event endpoint URL.",error
as2proxy,0x0423000e,"Failed to establish connection to the MEIG visibility event endpoint.",error
as2proxy,0x0423000f,"An error occurred on the front side connection.",error
as2proxy,0x04230010,"A hangup error occurred on the front side connection.",error
audit,0x02c60001,"Configuration settings applied",info
audit,0x02c60002,"Configuration added",info
audit,0x02c60003,"Configuration deleted",info
audit,0x02c60004,"Password changed",info
audit,0x02c30005,"Maximum number of failed logins.",error
audit,0x02c60006,"admin-state disabled.",info
audit,0x02c60007,"admin-state enabled.",info
audit,0x02c30008,"Lock out due to number of failed logins",error
b2bgw,0x03130001,"Invalid Business ID",error
b2bgw,0x03130002,"Retransmit Exhausted",error
b2bgw,0x03130003,"Fail to Retrieve Retransmit Message",error
b2bgw,0x03160004,"Corresponding MDN Has Been Received",info
b2bgw,0x03130005,"Error Occurred During Retransmit Message",error
b2bgw,0x03130006,"Missing mandatory AS headers",error
b2bgw,0x03130007,"Parsing AS header error",error
b2bgw,0x03140008,"No decryption key.",warning
b2bgw,0x03140009,"Unsupported AS Version",warning
b2bgw,0x0313000a,"Unsupported Signing Protocol",error
