"operation","next_operation"
"request_header_read","front_side_transform_begun"
"front_side_transform_begun","front_side_parsing_complete"
"front_side_parsing_complete","front_side_stylesheet_ready"
"front_side_stylesheet_ready","front_side_transform_complete"
"front_side_transform_complete","back_side_connection_attempted"
"back_side_connection_attempted","back_side_connection_completed"
"back_side_connection_completed","request_header_sent"
"request_header_sent","entire_request_transmitted"
"entire_request_transmitted","response_headers_received"
"response_headers_received","back_side_transform_begun"
"back_side_transform_begun","back_side_parsing_complete"
"back_side_parsing_complete","back_side_stylesheet_read"
"back_side_stylesheet_read","back_side_transform_complete"
"back_side_transform_complete","response_headers_sent"
"response_headers_sent","response_transmitted"
"response_transmitted",""
